Phi[deg],Theta[deg],dB(DirTotal)
-144,10,2.16826
-142,10,2.16125
-140,10,2.15411
-138,10,2.14688
-136,10,2.13961
-134,10,2.13231
-132,10,2.12504
-130,10,2.11782
-128,10,2.1107
-126,10,2.10369
-124,10,2.09685
-122,10,2.09019
-120,10,2.08377
-118,10,2.07759
-116,10,2.07171
-114,10,2.06614
-112,10,2.06091
-110,10,2.05606
-108,10,2.05159
-106,10,2.04755
-104,10,2.04393
-102,10,2.04078
-100,10,2.03809
-98,10,2.03589
-96,10,2.03419
-94,10,2.03298
-92,10,2.03229
-90,10,2.03212
-88,10,2.03245
-86,10,2.03331
-84,10,2.03467
-82,10,2.03653
-80,10,2.03889
-78,10,2.04174
-76,10,2.04505
-74,10,2.04882
-72,10,2.05302
-70,10,2.05763
-68,10,2.06264
-66,10,2.06802
-64,10,2.07373
-62,10,2.07976
-60,10,2.08608
-58,10,2.09265
-56,10,2.09944
-54,10,2.10642
-52,10,2.11355
-50,10,2.12081
-48,10,2.12815
-46,10,2.13554
-44,10,2.14295
-42,10,2.15034
-40,10,2.15767
-38,10,2.16492
-36,10,2.17204
-34,10,2.179
-32,10,2.18577
-30,10,2.19232
-28,10,2.19861
-26,10,2.20462
-24,10,2.21032
-22,10,2.21568
-20,10,2.22069
-18,10,2.2253
-16,10,2.22951
-14,10,2.23329
-12,10,2.23663
-10,10,2.23951
-8,10,2.24191
-6,10,2.24384
-4,10,2.24527
-2,10,2.24621
0,10,2.24664
2,10,2.24658
4,10,2.24601
6,10,2.24494
8,10,2.24338
10,10,2.24133
12,10,2.23881
14,10,2.23582
16,10,2.23239
18,10,2.22852
20,10,2.22425
22,10,2.21958
24,10,2.21454
26,10,2.20916
28,10,2.20346
30,10,2.19747
32,10,2.19122
34,10,2.18473
36,10,2.17805
38,10,2.1712
40,10,2.16421
42,10,2.15713
44,10,2.14998
46,10,2.14281
48,10,2.13563
50,10,2.1285
52,10,2.12145
54,10,2.11451
56,10,2.10771
58,10,2.10109
60,10,2.09468
62,10,2.08852
64,10,2.08263
66,10,2.07705
68,10,2.07179
70,10,2.0669
72,10,2.06238
74,10,2.05828
76,10,2.05459
78,10,2.05135
80,10,2.04857
82,10,2.04627
84,10,2.04445
86,10,2.04312
88,10,2.0423
90,10,2.04198
92,10,2.04216
94,10,2.04285
96,10,2.04404
98,10,2.04572
100,10,2.04789
102,10,2.05053
104,10,2.05364
106,10,2.05718
108,10,2.06115
110,10,2.06553
