Phi[deg],Theta[deg],rETotal[mV]
-40,8,9029.61
-38,8,9034.47
-36,8,9039.25
-34,8,9043.93
-32,8,9048.48
-30,8,9052.89
-28,8,9057.13
-26,8,9061.19
-24,8,9065.04
-22,8,9068.66
-20,8,9072.05
-18,8,9075.18
-16,8,9078.03
-14,8,9080.6
-12,8,9082.88
-10,8,9084.84
-8,8,9086.49
-6,8,9087.82
-4,8,9088.81
-2,8,9089.47
0,8,9089.79
2,8,9089.78
4,8,9089.42
6,8,9088.73
8,8,9087.71
10,8,9086.36
12,8,9084.69
14,8,9082.72
16,8,9080.44
18,8,9077.87
20,8,9075.02
22,8,9071.92
24,8,9068.56
26,8,9064.98
28,8,9061.19
30,8,9057.2
32,8,9053.04
34,8,9048.73
36,8,9044.28
38,8,9039.73
40,8,9035.09
42,8,9030.39
44,8,9025.65
46,8,9020.89
48,8,9016.13
50,8,9011.41
52,8,9006.74
54,8,9002.14
56,8,8997.65
58,8,8993.27
60,8,8989.04
62,8,8984.97
64,8,8981.08
66,8,8977.39
68,8,8973.92
70,8,8970.69
72,8,8967.71
74,8,8965
76,8,8962.57
78,8,8960.43
80,8,8958.59
82,8,8957.06
84,8,8955.85
86,8,8954.96
88,8,8954.4
90,8,8954.17
92,8,8954.28
94,8,8954.71
96,8,8955.47
98,8,8956.55
100,8,8957.95
102,8,8959.67
104,8,8961.68
106,8,8963.99
108,8,8966.58
110,8,8969.43
112,8,8972.54
114,8,8975.88
116,8,8979.45
118,8,8983.22
120,8,8987.17
122,8,8991.29
124,8,8995.55
126,8,8999.93
128,8,9004.41
130,8,9008.97
132,8,9013.59
134,8,9018.24
136,8,9022.89
138,8,9027.54
140,8,9032.14
142,8,9036.68
144,8,9041.15
146,8,9045.5
148,8,9049.73
150,8,9053.81
152,8,9057.72
154,8,9061.44
156,8,9064.95
158,8,9068.24
160,8,9071.29
162,8,9074.08
164,8,9076.6
166,8,9078.83
168,8,9080.77
170,8,9082.4
172,8,9083.72
174,8,9084.72
176,8,9085.39
178,8,9085.73
180,8,9085.74
-180,10,9081.74
-178,10,9081.28
-176,10,9080.3
-174,10,9078.8
-172,10,9076.81
-170,10,9074.31
-168,10,9071.33
-166,10,9067.88
-164,10,9063.97
-162,10,9059.63
-160,10,9054.87
-158,10,9049.72
-156,10,9044.2
-154,10,9038.33
-152,10,9032.16
-150,10,9025.7
-148,10,9018.98
-146,10,9012.05
-144,10,9004.93
-142,10,8997.65
-140,10,8990.26
-138,10,8982.79
-136,10,8975.27
-134,10,8967.74
-132,10,8960.23
-130,10,8952.79
-128,10,8945.44
-126,10,8938.23
-124,10,8931.19
-122,10,8924.35
-120,10,8917.75
-118,10,8911.42
-116,10,8905.38
-114,10,8899.67
-112,10,8894.32
-110,10,8889.35
-108,10,8884.78
-106,10,8880.64
-104,10,8876.95
-102,10,8873.73
-100,10,8870.98
-98,10,8868.73
-96,10,8866.99
-94,10,8865.77
-92,10,8865.06
-90,10,8864.88
-88,10,8865.22
-86,10,8866.09
-84,10,8867.48
-82,10,8869.39
-80,10,8871.8
-78,10,8874.7
-76,10,8878.09
-74,10,8881.94
-72,10,8886.24
-70,10,8890.96
-68,10,8896.09
-66,10,8901.6
-64,10,8907.46
-62,10,8913.64
-60,10,8920.13
-58,10,8926.87
-56,10,8933.86
-54,10,8941.04
-52,10,8948.39
-50,10,8955.86
-48,10,8963.44
-46,10,8971.07
-44,10,8978.72
-42,10,8986.36
-40,10,8993.96
-38,10,9001.46
-36,10,9008.84
-34,10,9016.06
-32,10,9023.09
-30,10,9029.9
-28,10,9036.44
-26,10,9042.7
-24,10,9048.64
-22,10,9054.23
-20,10,9059.44
-18,10,9064.25
-16,10,9068.65
-14,10,9072.6
-12,10,9076.08
-10,10,9079.09
-8,10,9081.61
-6,10,9083.62
-4,10,9085.12
-2,10,9086.1
0,10,9086.55
2,10,9086.48
4,10,9085.89
6,10,9084.77
8,10,9083.14
10,10,9081
12,10,9078.36
14,10,9075.24
16,10,9071.65
18,10,9067.62
20,10,9063.16
22,10,9058.29
24,10,9053.03
26,10,9047.43
28,10,9041.49
30,10,9035.26
32,10,9028.75
34,10,9022.02
36,10,9015.08
38,10,9007.97
40,10,9000.73
42,10,8993.39
44,10,8986
46,10,8978.57
48,10,8971.16
50,10,8963.8
52,10,8956.53
54,10,8949.37
56,10,8942.37
58,10,8935.55
60,10,8928.97
62,10,8922.63
64,10,8916.59
66,10,8910.85
68,10,8905.47
70,10,8900.45
72,10,8895.83
74,10,8891.62
76,10,8887.85
78,10,8884.54
80,10,8881.69
82,10,8879.34
84,10,8877.48
86,10,8876.12
88,10,8875.28
90,10,8874.95
92,10,8875.14
94,10,8875.84
96,10,8877.06
98,10,8878.78
100,10,8880.99
102,10,8883.7
104,10,8886.87
106,10,8890.5
108,10,8894.57
110,10,8899.05
112,10,8903.93
114,10,8909.18
116,10,8914.77
118,10,8920.68
120,10,8926.88
122,10,8933.33
124,10,8940.01
126,10,8946.88
128,10,8953.9
130,10,8961.05
132,10,8968.28
134,10,8975.56
136,10,8982.86
138,10,8990.14
140,10,8997.35
142,10,9004.48
144,10,9011.47
146,10,9018.3
148,10,9024.93
150,10,9031.33
152,10,9037.46
154,10,9043.31
156,10,9048.82
158,10,9053.99
160,10,9058.78
162,10,9063.17
164,10,9067.14
166,10,9070.67
168,10,9073.73
170,10,9076.32
172,10,9078.42
174,10,9080.02
176,10,9081.11
178,10,9081.68
180,10,9081.74
-180,12,9077.13
-178,12,9076.5
-176,12,9075.14
-174,12,9073.04
-172,12,9070.21
-170,12,9066.68
-168,12,9062.44
-166,12,9057.53
-164,12,9051.97
-162,12,9045.78
-160,12,9038.99
-158,12,9031.64
-156,12,9023.77
-154,12,9015.4
-152,12,9006.58
-150,12,8997.35
-148,12,8987.76
-146,12,8977.86
-144,12,8967.68
-142,12,8957.29
-140,12,8946.72
-138,12,8936.04
-136,12,8925.28
-134,12,8914.52
-132,12,8903.78
-130,12,8893.14
-128,12,8882.64
-126,12,8872.32
-124,12,8862.25
-122,12,8852.47
-120,12,8843.02
-118,12,8833.95
-116,12,8825.31
-114,12,8817.14
-112,12,8809.47
-110,12,8802.35
-108,12,8795.81
-106,12,8789.87
-104,12,8784.58
-102,12,8779.95
-100,12,8776.01
-98,12,8772.78
-96,12,8770.26
-94,12,8768.49
-92,12,8767.45
-90,12,8767.17
-88,12,8767.64
-86,12,8768.85
-84,12,8770.82
-82,12,8773.51
-80,12,8776.93
-78,12,8781.05
-76,12,8785.86
-74,12,8791.33
-72,12,8797.44
-70,12,8804.17
-68,12,8811.46
-66,12,8819.3
-64,12,8827.65
-62,12,8836.46
-60,12,8845.69
-58,12,8855.31
-56,12,8865.25
-54,12,8875.48
-52,12,8885.95
-50,12,8896.61
-48,12,8907.4
-46,12,8918.28
-44,12,8929.19
-42,12,8940.08
-40,12,8950.9
-38,12,8961.59
-36,12,8972.11
-34,12,8982.4
-32,12,8992.42
-30,12,9002.11
-28,12,9011.44
-26,12,9020.35
-24,12,9028.8
-22,12,9036.76
-20,12,9044.17
-18,12,9051.02
-16,12,9057.26
-14,12,9062.87
-12,12,9067.82
-10,12,9072.09
-8,12,9075.64
-6,12,9078.48
-4,12,9080.58
-2,12,9081.94
0,12,9082.55
2,12,9082.4
4,12,9081.5
6,12,9079.86
8,12,9077.48
10,12,9074.37
12,12,9070.55
14,12,9066.04
16,12,9060.87
18,12,9055.05
20,12,9048.62
22,12,9041.61
24,12,9034.05
26,12,9025.98
28,12,9017.45
30,12,9008.49
32,12,8999.14
34,12,8989.47
36,12,8979.5
38,12,8969.3
40,12,8958.9
42,12,8948.37
44,12,8937.76
46,12,8927.11
48,12,8916.48
50,12,8905.93
52,12,8895.49
54,12,8885.24
56,12,8875.2
58,12,8865.44
60,12,8856
62,12,8846.93
64,12,8838.28
66,12,8830.07
68,12,8822.36
70,12,8815.19
72,12,8808.58
74,12,8802.57
76,12,8797.19
78,12,8792.46
80,12,8788.41
82,12,8785.05
84,12,8782.41
86,12,8780.5
88,12,8779.32
90,12,8778.88
92,12,8779.18
94,12,8780.22
96,12,8781.99
98,12,8784.49
100,12,8787.71
102,12,8791.62
104,12,8796.2
106,12,8801.44
108,12,8807.31
110,12,8813.77
112,12,8820.81
114,12,8828.37
116,12,8836.43
118,12,8844.94
120,12,8853.86
122,12,8863.16
124,12,8872.77
126,12,8882.66
128,12,8892.77
130,12,8903.05
132,12,8913.46
134,12,8923.95
136,12,8934.45
138,12,8944.92
140,12,8955.31
142,12,8965.57
144,12,8975.63
146,12,8985.47
148,12,8995.01
150,12,9004.23
152,12,9013.07
154,12,9021.49
156,12,9029.44
158,12,9036.89
160,12,9043.8
162,12,9050.14
164,12,9055.87
166,12,9060.97
168,12,9065.4
170,12,9069.15
172,12,9072.2
174,12,9074.54
176,12,9076.14
178,12,9077
180,12,9077.13
-180,14,9071.98
-178,14,9071.18
-176,14,9069.37
-174,14,9066.56
-172,14,9062.77
-170,14,9058.02
-168,14,9052.32
-166,14,9045.71
-164,14,9038.22
-162,14,9029.87
-160,14,9020.72
-158,14,9010.81
-156,14,9000.18
-154,14,8988.89
-152,14,8976.99
-150,14,8964.54
-148,14,8951.59
-146,14,8938.22
-144,14,8924.48
-142,14,8910.44
-140,14,8896.17
-138,14,8881.74
-136,14,8867.22
-134,14,8852.67
-132,14,8838.18
-130,14,8823.8
-128,14,8809.61
-126,14,8795.68
-124,14,8782.07
-122,14,8768.85
-120,14,8756.08
-118,14,8743.82
-116,14,8732.14
-114,14,8721.1
-112,14,8710.73
-110,14,8701.1
-108,14,8692.25
-106,14,8684.22
-104,14,8677.05
-102,14,8670.79
-100,14,8665.44
-98,14,8661.06
-96,14,8657.64
-94,14,8655.22
-92,14,8653.8
-90,14,8653.4
-88,14,8654
-86,14,8655.62
-84,14,8658.24
-82,14,8661.85
-80,14,8666.44
-78,14,8671.98
-76,14,8678.44
-74,14,8685.8
-72,14,8694.02
-70,14,8703.07
-68,14,8712.89
