Phi[deg],Theta[deg],rETotal[mV]
-76,12,4792.83
-74,12,4810.63
-72,12,4830.6
-70,12,4852.64
-68,12,4876.67
-66,12,4902.58
-64,12,4930.26
-62,12,4959.58
-60,12,4990.42
-58,12,5022.65
-56,12,5056.11
-54,12,5090.65
-52,12,5126.12
-50,12,5162.35
-48,12,5199.17
-46,12,5236.41
-44,12,5273.87
-42,12,5311.4
-40,12,5348.78
-38,12,5385.86
-36,12,5422.43
-34,12,5458.31
-32,12,5493.31
-30,12,5527.27
-28,12,5559.99
-26,12,5591.32
-24,12,5621.07
-22,12,5649.1
-20,12,5675.26
-18,12,5699.39
-16,12,5721.38
-14,12,5741.1
-12,12,5758.44
-10,12,5773.31
-8,12,5785.63
-6,12,5795.32
-4,12,5802.34
-2,12,5806.65
0,12,5808.21
2,12,5807.03
4,12,5803.11
6,12,5796.48
8,12,5787.17
10,12,5775.23
12,12,5760.72
14,12,5743.75
16,12,5724.38
18,12,5702.74
20,12,5678.94
22,12,5653.11
24,12,5625.4
26,12,5595.94
28,12,5564.91
30,12,5532.46
32,12,5498.77
34,12,5464
36,12,5428.35
38,12,5392
40,12,5355.13
42,12,5317.92
44,12,5280.56
46,12,5243.24
48,12,5206.14
50,12,5169.44
52,12,5133.31
54,12,5097.92
56,12,5063.44
58,12,5030.03
60,12,4997.84
62,12,4967.01
64,12,4937.69
66,12,4910.01
68,12,4884.07
70,12,4860.01
72,12,4837.91
74,12,4817.88
76,12,4800
78,12,4784.35
80,12,4770.98
82,12,4759.96
84,12,4751.33
86,12,4745.12
88,12,4741.37
90,12,4740.08
92,12,4741.27
94,12,4744.92
96,12,4751.02
98,12,4759.56
100,12,4770.48
102,12,4783.75
104,12,4799.31
106,12,4817.1
108,12,4837.04
110,12,4859.05
112,12,4883.03
114,12,4908.89
116,12,4936.5
118,12,4965.76
120,12,4996.52
122,12,5028.66
124,12,5062.02
126,12,5096.46
128,12,5131.81
130,12,5167.91
132,12,5204.6
134,12,5241.69
136,12,5279.01
138,12,5316.37
140,12,5353.6
142,12,5390.5
144,12,5426.89
146,12,5462.59
148,12,5497.41
150,12,5531.17
152,12,5563.69
154,12,5594.81
156,12,5624.36
158,12,5652.18
160,12,5678.12
162,12,5702.04
164,12,5723.81
166,12,5743.31
168,12,5760.43
170,12,5775.08
172,12,5787.17
174,12,5796.64
176,12,5803.43
178,12,5807.51
180,12,5808.85
-180,14,5805.19
-178,14,5803.32
-176,14,5797.74
-174,14,5788.49
